"Step","quadruped_jump_pixel_finetune_1024 - scalars/eval_return","quadruped_jump_pixel_finetune_1024 - scalars/eval_return__MIN","quadruped_jump_pixel_finetune_1024 - scalars/eval_return__MAX"
"1","54.565589904785156","54.565589904785156","54.565589904785156"
"4","448.78515625","448.78515625","448.78515625"
"8","87.26451110839844","87.26451110839844","87.26451110839844"
"11","200.15655517578125","200.15655517578125","200.15655517578125"
"15","192.6762237548828","192.6762237548828","192.6762237548828"
"18","310.59698486328125","310.59698486328125","310.59698486328125"
"22","487.67791748046875","487.67791748046875","487.67791748046875"
"25","444.8372802734375","444.8372802734375","444.8372802734375"
"29","396.76239013671875","396.76239013671875","396.76239013671875"
"32","407.6806640625","407.6806640625","407.6806640625"